date,description,amount,category
2023-04-17,Amazon,-89.0,Shopping
2023-04-19,Taxi,-9.28,Transport
2023-04-20,Restaurant,-29.28,Food
2023-04-20,Coffee,-8.41,Food
2023-04-20,Gift,-42.64,Other
2023-04-22,Public Transport,-58.03,Transport
2023-04-23,Rent,-1456.06,Housing
2023-04-25,Cinema,-117.87,Entertainment
2023-04-27,Uber,-5.92,Transport
2023-04-27,Coffee,-56.41,Food
2023-04-28,Taxi,-76.1,Transport
2023-04-28,Amazon,-408.43,Shopping
2023-04-29,Mortgage,-1697.21,Housing
2023-04-29,Streaming,-70.26,Entertainment
2023-04-30,Electronics,-384.08,Shopping
2023-05-01,Salary,3000,Income
2023-05-02,Public Transport,-23.19,Transport
2023-05-03,Water,-47.15,Utilities
2023-05-04,Groceries,-10.51,Food
2023-05-05,Phone,-31.21,Utilities
2023-05-05,Rent,-1200,Housing
2023-05-06,Concert,-7.83,Entertainment
2023-05-07,Phone,-21.06,Utilities
2023-05-07,Takeout,-102.85,Food
2023-05-08,Rent,-1288.23,Housing
2023-05-08,Takeout,-6.4,Food
2023-05-08,Takeout,-87.73,Food
2023-05-09,Amazon,-269.39,Shopping
2023-05-09,Amazon,-284.37,Shopping
2023-05-11,Takeout,-24.26,Food
2023-05-13,Mortgage,-1561.23,Housing
2023-05-14,Streaming,-41.58,Entertainment
2023-05-15,Internet,-74,Utilities
2023-05-17,Coffee,-94.4,Food
2023-05-17,Gas,-76.07,Transport
2023-05-17,Coffee,-75.7,Food
2023-05-19,Groceries,-57.41,Food
2023-05-21,Electric,-160.0,Utilities
2023-05-23,Internet,-123.64,Utilities
2023-05-24,Rent,-876.0,Housing
2023-05-24,Public Transport,-9.95,Transport
2023-05-25,Amazon,-403.74,Shopping
2023-05-26,Electric,-82.5,Utilities
2023-05-27,Restaurant,-4.48,Food
2023-05-28,Mortgage,-1760.79,Housing
2023-05-29,Pharmacy,-177.02,Healthcare
2023-05-30,Interest,-31.18,Other
2023-05-31,Streaming,-68.16,Entertainment
2023-05-31,Taxi,-27.14,Transport
2023-06-01,Salary,3000,Income
2023-06-02,Takeout,-69.67,Food
2023-06-02,Taxi,-4.24,Transport
2023-06-03,Groceries,-44.51,Food
2023-06-03,Restaurant,-106.0,Food
2023-06-04,Coffee,-63.45,Food
2023-06-05,Rent,-1200,Housing
2023-06-06,Water,-144.31,Utilities
2023-06-07,Rent,-893.05,Housing
2023-06-09,Restaurant,-58.37,Food
2023-06-10,Mortgage,-1151.81,Housing
2023-06-11,Groceries,-17.12,Food
2023-06-14,Cinema,-32.77,Entertainment
2023-06-15,Restaurant,-117.72,Food
2023-06-17,Groceries,-35.09,Food
2023-06-18,Water,-134.82,Utilities
2023-06-18,Cinema,-131.54,Entertainment
2023-06-18,Phone,-106.17,Utilities
2023-06-19,Interest,-47.11,Other
2023-06-20,Doctor,-199.24,Healthcare
2023-06-21,Public Transport,-13.64,Transport
2023-06-22,Groceries,-16.86,Food
2023-06-23,Water,-159.62,Utilities
2023-06-24,Electronics,-430.78,Shopping
2023-06-25,Coffee,-74.33,Food
2023-06-25,Cinema,-95.7,Entertainment
2023-06-25,Coffee,-21.38,Food
2023-06-29,Internet,-25.88,Utilities
2023-07-01,Salary,3200,Income
2023-07-01,Taxi,-63.45,Transport
2023-07-02,Public Transport,-35.16,Transport
2023-07-03,Taxi,-66.48,Transport
2023-07-05,Rent,-1200,Housing
2023-07-06,Internet,-99.05,Utilities
2023-07-07,Takeout,-113.29,Food
2023-07-08,Rent,-1398.04,Housing
2023-07-09,Concert,-41.3,Entertainment
2023-07-09,Coffee,-119.95,Food
2023-07-10,Coffee,-92.28,Food
2023-07-12,Mortgage,-981.49,Housing
2023-07-13,Uber,-77.59,Transport
2023-07-14,Mortgage,-1470.13,Housing
2023-07-15,Takeout,-36.72,Food
2023-07-15,Amazon,-23.17,Shopping
2023-07-15,Internet,-56,Utilities
2023-07-16,Interest,-43.38,Other
2023-07-17,Bonus,3500,Income
2023-07-17,Restaurant,-75.85,Food
2023-07-18,Rent,-1003.56,Housing
2023-07-19,Electronics,-441.02,Shopping
2023-07-20,Groceries,-86.04,Food
2023-07-21,Bonus,3000,Income
2023-07-23,Coffee,-78.78,Food
2023-07-23,Restaurant,-62.54,Food
2023-07-25,Bank Fee,-23.38,Other
2023-07-25,Groceries,-110.86,Food
2023-07-26,Clothing,-141.74,Shopping
2023-07-27,Mortgage,-1620.55,Housing
2023-07-30,Interest,-43.4,Other
2023-07-31,Mortgage,-1351.92,Housing
2023-08-01,Salary,3000,Income
2023-08-01,Amazon,-123.21,Shopping
2023-08-01,Mortgage,-843.65,Housing
2023-08-02,Uber,-32.11,Transport
2023-08-03,Pharmacy,-200.65,Healthcare
2023-08-05,Electric,-177.35,Utilities
2023-08-05,Rent,-1200,Housing
2023-08-06,Rent,-1209.98,Housing
2023-08-07,Takeout,-94.44,Food
2023-08-09,Rent,-1651.77,Housing
2023-08-10,Electronics,-477.3,Shopping
2023-08-10,Uber,-70.05,Transport
2023-08-13,Clothing,-374.65,Shopping
2023-08-14,Coffee,-54.91,Food
2023-08-15,Clothing,-165.57,Shopping
2023-08-15,Internet,-62,Utilities
2023-08-16,Takeout,-69.21,Food
2023-08-17,Coffee,-74.31,Food
2023-08-18,Uber,-73.2,Transport
2023-08-20,Restaurant,-81.02,Food
2023-08-21,Mortgage,-1477.61,Housing
2023-08-21,Takeout,-113.59,Food
2023-08-22,Takeout,-83.77,Food
2023-08-22,Mortgage,-999.22,Housing
2023-08-22,Mortgage,-906.65,Housing
2023-08-23,Restaurant,-119.14,Food
2023-08-25,Taxi,-2.63,Transport
2023-08-25,Amazon,-486.93,Shopping
2023-08-25,Amazon,-250.88,Shopping
2023-08-26,Groceries,-74.03,Food
2023-08-26,Groceries,-75.64,Food
2023-08-27,Public Transport,-51.0,Transport
2023-08-28,Taxi,-63.51,Transport
2023-08-28,Restaurant,-88.69,Food
2023-08-31,Groceries,-95.02,Food
2023-09-01,Salary,3200,Income
2023-09-01,Doctor,-366.05,Healthcare
2023-09-01,Electronics,-374.55,Shopping
2023-09-02,Coffee,-19.47,Food
2023-09-03,Amazon,-338.83,Shopping
2023-09-03,Mortgage,-890.3,Housing
2023-09-03,Mortgage,-1336.57,Housing
2023-09-04,Taxi,-47.6,Transport
2023-09-05,Clothing,-339.04,Shopping
2023-09-05,Mortgage,-1715.26,Housing
2023-09-05,Rent,-1200,Housing
2023-09-07,Electronics,-326.37,Shopping
2023-09-07,Coffee,-113.71,Food
2023-09-08,Rent,-1034.8,Housing
2023-09-09,Mortgage,-1470.49,Housing
2023-09-10,Electronics,-295.73,Shopping
2023-09-11,Amazon,-54.02,Shopping
2023-09-12,Mortgage,-832.72,Housing
2023-09-13,Rent,-1655.45,Housing
2023-09-15,Internet,-30.9,Utilities
2023-09-15,Internet,-47,Utilities
2023-09-16,Pharmacy,-266.79,Healthcare
2023-09-16,Gas,-5.95,Transport
2023-09-17,Gift,-11.06,Other
2023-09-18,Water,-166.35,Utilities
2023-09-18,Groceries,-95.27,Food
2023-09-19,Groceries,-118.54,Food
2023-09-20,Cinema,-100.85,Entertainment
2023-09-23,Restaurant,-4.85,Food
2023-09-26,Coffee,-58.72,Food
2023-09-27,Rent,-1252.01,Housing
2023-09-29,Taxi,-37.73,Transport
2023-09-30,Takeout,-102.13,Food
2023-09-30,Rent,-1290.27,Housing
2023-09-30,Clothing,-450.14,Shopping
2023-10-01,Salary,3200,Income
2023-10-03,Internet,-88.56,Utilities
2023-10-04,Takeout,-14.6,Food
2023-10-05,Amazon,-439.46,Shopping
2023-10-05,Rent,-1200,Housing
2023-10-06,Rent,-1213.81,Housing
2023-10-06,Doctor,-169.32,Healthcare
2023-10-08,Taxi,-76.38,Transport
2023-10-09,Rent,-1631.77,Housing
2023-10-12,Pharmacy,-236.65,Healthcare
2023-10-13,Coffee,-51.06,Food
2023-10-14,Electronics,-434.71,Shopping
2023-10-14,Taxi,-48.83,Transport
2023-10-15,Water,-47.85,Utilities
2023-10-16,Restaurant,-16.44,Food
2023-10-16,Groceries,-97.44,Food
2023-10-17,Gift,-31.07,Other
2023-10-17,Gas,-49.5,Transport
2023-10-18,Gas,-16.07,Transport
2023-10-19,Restaurant,-44.07,Food
2023-10-22,Coffee,-13.74,Food
2023-10-23,Mortgage,-1140.9,Housing
2023-10-24,Gas,-70.9,Transport
2023-10-26,Coffee,-34.84,Food
2023-10-27,Mortgage,-1214.18,Housing
2023-10-29,Coffee,-36.14,Food
2023-10-30,Mortgage,-845.42,Housing
2023-10-31,Electric,-56.8,Utilities
2023-11-01,Salary,3000,Income
2023-11-01,Coffee,-3.9,Food
2023-11-02,Takeout,-65.31,Food
2023-11-04,Taxi,-7.62,Transport
2023-11-05,Coffee,-56.79,Food
2023-11-05,Restaurant,-70.36,Food
2023-11-05,Rent,-1200,Housing
2023-11-06,Rent,-1205.03,Housing
2023-11-07,Takeout,-100.35,Food
2023-11-07,Clothing,-221.17,Shopping
2023-11-07,Takeout,-71.9,Food
2023-11-08,Mortgage,-1545.8,Housing
2023-11-10,Coffee,-65.08,Food
2023-11-12,Groceries,-30.64,Food
2023-11-15,Concert,-15.93,Entertainment
2023-11-16,Mortgage,-1481.13,Housing
2023-11-17,Taxi,-69.41,Transport
2023-11-17,Public Transport,-36.3,Transport
2023-11-18,Taxi,-48.13,Transport
2023-11-19,Takeout,-55.87,Food
2023-11-21,Coffee,-74.96,Food
2023-11-21,Mortgage,-1380.33,Housing
2023-11-22,Cinema,-70.21,Entertainment
2023-11-22,Pharmacy,-132.0,Healthcare
2023-11-22,Rent,-1757.72,Housing
2023-11-23,Doctor,-393.04,Healthcare
2023-11-25,Takeout,-118.95,Food
2023-11-26,Internet,-87.11,Utilities
2023-11-28,Coffee,-95.34,Food
2023-11-29,Coffee,-68.28,Food
2023-11-30,Groceries,-42.0,Food
2023-12-01,Salary,3000,Income
2023-12-01,Takeout,-18.09,Food
2023-12-01,Gas,-26.15,Transport
2023-12-02,Cinema,-102.17,Entertainment
2023-12-03,Concert,-137.3,Entertainment
2023-12-03,Takeout,-62.49,Food
2023-12-05,Interest,-47.44,Other
2023-12-05,Rent,-1200,Housing
2023-12-09,Coffee,-80.45,Food
2023-12-09,Amazon,-69.87,Shopping
2023-12-10,Groceries,-87.38,Food
2023-12-12,Uber,-49.63,Transport
2023-12-13,Cinema,-82.43,Entertainment
2023-12-14,Doctor,-362.07,Healthcare
2023-12-16,Mortgage,-1578.12,Housing
2023-12-17,Rent,-1616.89,Housing
2023-12-18,Restaurant,-9.11,Food
2023-12-18,Mortgage,-1354.54,Housing
2023-12-20,Electronics,-46.52,Shopping
2023-12-20,Takeout,-108.92,Food
2023-12-22,Clothing,-409.27,Shopping
2023-12-23,Electronics,-31.36,Shopping
2023-12-23,Rent,-1186.17,Housing
2023-12-26,Restaurant,-95.59,Food
2023-12-29,Public Transport,-61.19,Transport
2023-12-29,Rent,-1705.86,Housing
2024-01-01,Salary,3000,Income
2024-01-01,Electric,-159.71,Utilities
2024-01-05,Electric,-39.95,Utilities
2024-01-05,Rent,-1200,Housing
2024-01-06,Salary,3200,Income
2024-01-09,Water,-139.59,Utilities
2024-01-11,Coffee,-48.68,Food
2024-01-11,Mortgage,-1781.04,Housing
2024-01-11,Coffee,-44.78,Food
2024-01-14,Restaurant,-18.61,Food
2024-01-15,Groceries,-100.15,Food
2024-01-16,Rent,-1611.5,Housing
2024-01-16,Takeout,-7.33,Food
2024-01-16,Groceries,-106.64,Food
2024-01-17,Takeout,-118.73,Food
2024-01-18,Groceries,-36.47,Food
2024-01-19,Restaurant,-34.97,Food
2024-01-19,Streaming,-133.98,Entertainment
2024-01-20,Electronics,-172.82,Shopping
2024-01-22,Restaurant,-96.73,Food
2024-01-23,Groceries,-66.82,Food
2024-01-24,Restaurant,-38.86,Food
2024-01-25,Mortgage,-1151.55,Housing
2024-01-27,Takeout,-35.12,Food
2024-01-27,Bank Fee,-4.68,Other
2024-01-28,Groceries,-114.48,Food
2024-01-30,Cinema,-23.3,Entertainment
2024-02-01,Salary,3200,Income
2024-02-01,Groceries,-82.45,Food
2024-02-01,Interest,-22.75,Other
2024-02-04,Restaurant,-32.2,Food
2024-02-05,Rent,-1200,Housing
2024-02-06,Rent,-1061.78,Housing
2024-02-08,Interest,-35.01,Other
2024-02-09,Groceries,-102.78,Food
2024-02-09,Mortgage,-1797.26,Housing
2024-02-09,Doctor,-268.8,Healthcare
2024-02-10,Internet,-180.44,Utilities
2024-02-11,Public Transport,-63.91,Transport
2024-02-11,Rent,-1785.13,Housing
2024-02-12,Takeout,-6.08,Food
2024-02-13,Groceries,-74.6,Food
2024-02-15,Gift,-24.45,Other
2024-02-16,Water,-195.03,Utilities
2024-02-17,Mortgage,-928.33,Housing
2024-02-18,Water,-158.2,Utilities
2024-02-18,Coffee,-100.27,Food
2024-02-19,Groceries,-40.75,Food
2024-02-20,Restaurant,-101.97,Food
2024-02-22,Water,-132.5,Utilities
2024-02-23,Groceries,-72.24,Food
2024-02-24,Restaurant,-101.58,Food
2024-02-25,Pharmacy,-37.08,Healthcare
2024-02-26,Streaming,-99.41,Entertainment
2024-02-26,Streaming,-94.63,Entertainment
2024-02-28,Internet,-106.93,Utilities
2024-02-28,Doctor,-122.49,Healthcare
2024-03-01,Salary,3000,Income
2024-03-01,Mortgage,-1406.66,Housing
2024-03-02,Taxi,-78.08,Transport
2024-03-04,Internet,-63.51,Utilities
2024-03-05,Rent,-1200,Housing
2024-03-08,Electronics,-127.89,Shopping
2024-03-08,Clothing,-407.67,Shopping
2024-03-09,Public Transport,-61.52,Transport
2024-03-09,Mortgage,-1298.76,Housing
2024-03-10,Takeout,-62.14,Food
2024-03-11,Restaurant,-8.69,Food
2024-03-11,Takeout,-36.43,Food
2024-03-11,Salary,3500,Income
2024-03-14,Rent,-1200.58,Housing
2024-03-15,Restaurant,-11.6,Food
2024-03-16,Coffee,-18.05,Food
2024-03-18,Gift,-47.01,Other
2024-03-19,Takeout,-61.51,Food
2024-03-22,Mortgage,-948.94,Housing
2024-03-23,Restaurant,-22.01,Food
2024-03-23,Gift,-42.29,Other
2024-03-24,Mortgage,-1508.74,Housing
2024-03-26,Coffee,-117.65,Food
2024-03-26,Electric,-127.44,Utilities
2024-03-28,Gift,-29.3,Other
2024-03-29,Water,-114.36,Utilities
2024-03-30,Streaming,-26.43,Entertainment
2024-03-31,Coffee,-25.32,Food
2024-04-01,Salary,2800,Income
2024-04-02,Mortgage,-1672.82,Housing
2024-04-03,Groceries,-63.69,Food
2024-04-04,Interest,-26.75,Other
2024-04-05,Restaurant,-66.91,Food
2024-04-05,Rent,-1200,Housing
2024-04-06,Taxi,-49.59,Transport
2024-04-06,Groceries,-35.64,Food
2024-04-08,Interest,-35.54,Other
2024-04-08,Uber,-26.73,Transport
2024-04-09,Amazon,-140.36,Shopping
2024-04-11,Mortgage,-1618.38,Housing
2024-04-12,Doctor,-21.62,Healthcare
2024-04-12,Bank Fee,-17.97,Other
2024-04-12,Mortgage,-1547.34,Housing
2024-04-14,Restaurant,-19.06,Food
2024-04-14,Water,-63.64,Utilities
2024-04-15,Water,-29.45,Utilities
2024-04-16,Groceries,-3.61,Food
2024-04-17,Electronics,-328.18,Shopping
2024-04-18,Rent,-1555.91,Housing
2024-04-18,Restaurant,-78.57,Food
2024-04-19,Groceries,-65.61,Food
2024-04-19,Gas,-73.23,Transport
2024-04-21,Coffee,-119.67,Food
2024-04-21,Mortgage,-986.31,Housing
2024-04-22,Electronics,-438.99,Shopping
2024-04-24,Restaurant,-36.29,Food
2024-04-25,Phone,-180.07,Utilities
2024-04-25,Takeout,-34.92,Food
2024-04-25,Doctor,-69.19,Healthcare
2024-04-26,Groceries,-4.65,Food
2024-04-27,Groceries,-23.53,Food
2024-04-28,Electronics,-260.06,Shopping
2024-04-28,Coffee,-24.62,Food
2024-04-30,Restaurant,-47.88,Food
2024-05-01,Salary,2800,Income
2024-05-01,Coffee,-33.6,Food
2024-05-01,Groceries,-10.27,Food
2024-05-01,Restaurant,-21.69,Food
2024-05-02,Amazon,-386.07,Shopping
2024-05-03,Taxi,-30.67,Transport
2024-05-05,Mortgage,-1547.73,Housing
2024-05-05,Phone,-146.35,Utilities
2024-05-05,Amazon,-401.99,Shopping
2024-05-05,Rent,-1200,Housing
2024-05-06,Gas,-42.99,Transport
2024-05-07,Coffee,-10.23,Food
2024-05-08,Rent,-964.54,Housing
2024-05-09,Rent,-1516.92,Housing
2024-05-09,Mortgage,-1608.69,Housing
2024-05-10,Mortgage,-1363.91,Housing
2024-05-11,Taxi,-58.42,Transport
2024-05-12,Pharmacy,-233.43,Healthcare
2024-05-14,Coffee,-112.35,Food
2024-05-17,Concert,-146.86,Entertainment
2024-05-18,Mortgage,-1248.54,Housing
2024-05-19,Rent,-1482.73,Housing
2024-05-19,Public Transport,-52.98,Transport
2024-05-20,Takeout,-64.87,Food
2024-05-21,Coffee,-91.47,Food
2024-05-22,Mortgage,-1331.93,Housing
2024-05-22,Pharmacy,-186.95,Healthcare
2024-05-22,Groceries,-112.68,Food
2024-05-23,Takeout,-74.95,Food
2024-05-24,Clothing,-107.01,Shopping
2024-05-24,Coffee,-55.23,Food
2024-05-25,Clothing,-371.57,Shopping
2024-05-26,Groceries,-91.26,Food
2024-05-27,Restaurant,-30.4,Food
2024-05-28,Internet,-62.64,Utilities
2024-05-28,Amazon,-263.02,Shopping
2024-05-29,Groceries,-76.24,Food
2024-05-30,Mortgage,-1741.59,Housing
2024-05-31,Streaming,-105.96,Entertainment
2024-06-01,Salary,2800,Income
2024-06-01,Streaming,-39.94,Entertainment
2024-06-03,Takeout,-110.02,Food
2024-06-03,Phone,-120.31,Utilities
2024-06-05,Rent,-1200,Housing
2024-06-06,Electronics,-50.77,Shopping
2024-06-07,Restaurant,-47.13,Food
2024-06-08,Coffee,-25.02,Food
2024-06-09,Public Transport,-39.39,Transport
2024-06-10,Coffee,-27.78,Food
2024-06-10,Coffee,-90.38,Food
2024-06-11,Amazon,-304.18,Shopping
2024-06-13,Internet,-88.52,Utilities
2024-06-13,Internet,-75.52,Utilities
2024-06-14,Electronics,-53.81,Shopping
2024-06-15,Mortgage,-1714.33,Housing
2024-06-15,Takeout,-8.35,Food
2024-06-15,Amazon,-77.23,Shopping
2024-06-15,Internet,-99,Utilities
2024-06-16,Taxi,-13.89,Transport
2024-06-17,Rent,-1299.3,Housing
2024-06-18,Taxi,-61.54,Transport
2024-06-19,Uber,-37.94,Transport
2024-06-20,Groceries,-87.28,Food
2024-06-21,Amazon,-495.21,Shopping
2024-06-22,Electric,-190.13,Utilities
2024-06-22,Gas,-34.17,Transport
2024-06-22,Clothing,-38.64,Shopping
2024-06-25,Takeout,-80.14,Food
2024-06-27,Rent,-1329.42,Housing
2024-06-29,Bonus,3200,Income
2024-06-29,Coffee,-64.35,Food
2024-06-29,Restaurant,-98.38,Food
2024-07-01,Salary,2800,Income
2024-07-01,Transfer to Savings,-280,Other
2024-07-01,Rent,-1790.23,Housing
2024-07-01,Coffee,-79.49,Food
2024-07-01,Clothing,-51.28,Shopping
2024-07-02,Electric,-134.61,Utilities
2024-07-03,Takeout,-78.45,Food
2024-07-04,Bank Fee,-44.84,Other
2024-07-05,Takeout,-34.72,Food
2024-07-05,Amazon,-463.16,Shopping
2024-07-05,Rent,-1200,Housing
2024-07-06,Restaurant,-4.83,Food
2024-07-09,Pharmacy,-123.21,Healthcare
2024-07-09,Phone,-141.87,Utilities
2024-07-10,Rent,-1590.5,Housing
2024-07-11,Restaurant,-9.28,Food
2024-07-12,Doctor,-244.04,Healthcare
2024-07-13,Internet,-25.33,Utilities
2024-07-15,Mortgage,-1353.04,Housing
2024-07-15,Rent,-1479.69,Housing
2024-07-15,Gas,-62.23,Transport
2024-07-15,Internet,-55,Utilities
2024-07-16,Groceries,-47.46,Food
2024-07-17,Takeout,-40.05,Food
2024-07-20,Restaurant,-14.96,Food
2024-07-22,Phone,-38.59,Utilities
2024-07-24,Internet,-175.47,Utilities
2024-07-26,Concert,-135.66,Entertainment
2024-07-27,Gift,-26.53,Other
2024-07-27,Public Transport,-12.83,Transport
2024-07-28,Rent,-967.21,Housing
2024-07-31,Groceries,-87.35,Food
2024-08-01,Salary,2800,Income
2024-08-03,Interest,-42.24,Other
2024-08-04,Electronics,-170.69,Shopping
2024-08-05,Amazon,-72.38,Shopping
2024-08-05,Groceries,-59.04,Food
2024-08-05,Rent,-1200,Housing
2024-08-06,Takeout,-116.23,Food
2024-08-07,Restaurant,-98.53,Food
2024-08-08,Groceries,-72.29,Food
2024-08-09,Gas,-76.33,Transport
2024-08-10,Uber,-64.22,Transport
2024-08-11,Takeout,-81.74,Food
2024-08-11,Restaurant,-31.32,Food
2024-08-12,Uber,-7.77,Transport
2024-08-13,Mortgage,-1334.37,Housing
2024-08-13,Amazon,-212.06,Shopping
2024-08-13,Restaurant,-85.09,Food
2024-08-14,Electric,-39.69,Utilities
2024-08-14,Restaurant,-22.46,Food
2024-08-15,Phone,-194.03,Utilities
2024-08-16,Coffee,-33.27,Food
2024-08-17,Water,-100.24,Utilities
2024-08-18,Concert,-105.11,Entertainment
2024-08-20,Mortgage,-1215.98,Housing
2024-08-20,Bank Fee,-41.73,Other
2024-08-20,Taxi,-26.33,Transport
2024-08-21,Takeout,-43.75,Food
2024-08-23,Rent,-1100.26,Housing
2024-08-24,Restaurant,-78.81,Food
2024-08-24,Public Transport,-74.53,Transport
2024-08-25,Rent,-1130.99,Housing
2024-08-26,Mortgage,-1429.76,Housing
2024-08-28,Rent,-1249.58,Housing
2024-08-29,Salary,3200,Income
2024-08-31,Concert,-19.75,Entertainment
2024-09-01,Salary,3000,Income
2024-09-01,Mortgage,-1470.7,Housing
2024-09-02,Interest,-30.25,Other
2024-09-03,Internet,-83.36,Utilities
2024-09-04,Restaurant,-110.49,Food
2024-09-05,Taxi,-11.19,Transport
2024-09-05,Rent,-1200,Housing
2024-09-07,Mortgage,-1396.43,Housing
2024-09-08,Mortgage,-1435.5,Housing
2024-09-09,Public Transport,-45.28,Transport
2024-09-10,Restaurant,-101.51,Food
2024-09-11,Clothing,-244.88,Shopping
2024-09-13,Phone,-93.64,Utilities
2024-09-14,Uber,-40.12,Transport
2024-09-15,Internet,-88,Utilities
2024-09-20,Phone,-118.95,Utilities
2024-09-23,Doctor,-219.11,Healthcare
2024-09-24,Streaming,-84.22,Entertainment
2024-09-25,Groceries,-37.83,Food
2024-09-25,Interest,-13.88,Other
2024-09-25,Clothing,-222.34,Shopping
2024-09-26,Cinema,-35.43,Entertainment
2024-09-26,Concert,-55.84,Entertainment
2024-09-26,Uber,-14.95,Transport
2024-10-01,Salary,3200,Income
2024-10-01,Restaurant,-36.85,Food
2024-10-03,Gift,-40.94,Other
2024-10-03,Takeout,-110.5,Food
2024-10-04,Clothing,-352.21,Shopping
2024-10-04,Groceries,-86.23,Food
2024-10-04,Doctor,-198.34,Healthcare
2024-10-05,Takeout,-46.9,Food
2024-10-05,Rent,-1200,Housing
2024-10-06,Streaming,-79.76,Entertainment
2024-10-08,Takeout,-41.29,Food
2024-10-08,Salary,3500,Income
2024-10-09,Gas,-64.06,Transport
2024-10-10,Bank Fee,-25.24,Other
2024-10-11,Groceries,-69.24,Food
2024-10-12,Coffee,-8.38,Food
2024-10-13,Pharmacy,-54.07,Healthcare
2024-10-14,Rent,-1791.84,Housing
